title,price,location,year,mileage,list_date,URL,source
2023 Triumph Thruxton RS Competition Green / Silver Ice,"$17,495",seattle,2023,2mi,7h ago,https://seattle.craigslist.org/see/mcd/d/seattle-2023-triumph-thruxton-rs/7640770740.html,craigslist
2023 Kawasaki KX 450SR,"$12,699",bremerton,2023,-1,8h ago,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-kawasaki-kx-450sr/7640755652.html,craigslist
2012 Honda Gold Wing Audio Comfort,"$8,995",olympia,2012,80k mi,8h ago,https://seattle.craigslist.org/oly/mcd/d/olympia-2012-honda-gold-wing-audio/7640744626.html,craigslist
2012 Yamaha 950,"$4,000",port,2012,14k mi,8h ago,https://seattle.craigslist.org/kit/mcy/d/port-orchard-2012-yamaha-950/7640743669.html,craigslist
2023 Honda SCL500,"$6,799",lakewood,2023,-1,7/7,https://seattle.craigslist.org/tac/mcd/d/lakewood-2023-honda-scl500/7640716156.html,craigslist
1979 Homda XL250s,$750,seahurst,1979,"9,999mi",7/7,https://seattle.craigslist.org/see/mcy/d/seahurst-1979-homda-xl250s/7640712808.html,craigslist
2022 *Harley Davidson* *Street Glide Special *LOW 851 MILE,"$26,995",lake,2022,851mi,7/7,https://seattle.craigslist.org/est/mcd/d/lake-oswego-2022-harley-davidson-street/7640711776.html,craigslist
BMW R1150R For Sale,"$3,000",bellingham,-1,26k mi,7/7,https://seattle.craigslist.org/see/mcy/d/bellingham-bmw-r1150r-for-sale/7640711058.html,craigslist
2010 Harley Davidson CVO Street Glide,"$12,500",olympia,2010,22k mi,7/7,https://seattle.craigslist.org/oly/mcy/d/olympia-2010-harley-davidson-cvo-street/7640710002.html,craigslist
1999 Honda Valkyrie 1500 Wow..Full Dress,"$5,000",tacoma,1999,53k mi,7/7,https://seattle.craigslist.org/tac/mcy/d/tacoma-1999-honda-valkyrie-1500-wowfull/7640705622.html,craigslist
